# solver	iter	churn	stddev
ecmp	0	1104.000000	0.000000
ecmp	1	0.000000	0.000000
ecmp	2	0.000000	0.000000
ecmp	3	0.000000	0.000000
ecmp	4	0.000000	0.000000
ecmp	5	0.000000	0.000000
ecmp	6	0.000000	0.000000
ecmp	7	0.000000	0.000000
ecmp	8	0.000000	0.000000
ecmp	9	0.000000	0.000000
ecmp	10	0.000000	0.000000
ecmp	11	0.000000	0.000000
ecmp	12	0.000000	0.000000
ecmp	13	0.000000	0.000000
ecmp	14	0.000000	0.000000
ecmp	15	0.000000	0.000000
ecmp	16	0.000000	0.000000
ecmp	17	0.000000	0.000000
ecmp	18	0.000000	0.000000
ecmp	19	0.000000	0.000000
ecmp	20	0.000000	0.000000
ecmp	21	0.000000	0.000000
ecmp	22	0.000000	0.000000
ecmp	23	0.000000	0.000000
ecmp	24	0.000000	0.000000
ecmp	25	0.000000	0.000000
ecmp	26	0.000000	0.000000
ecmp	27	0.000000	0.000000
ecmp	28	0.000000	0.000000
ecmp	29	0.000000	0.000000
ecmp	30	0.000000	0.000000
ecmp	31	0.000000	0.000000
ecmp	32	0.000000	0.000000
ecmp	33	0.000000	0.000000
ecmp	34	0.000000	0.000000
ecmp	35	0.000000	0.000000
ecmp	36	0.000000	0.000000
ecmp	37	0.000000	0.000000
ecmp	38	0.000000	0.000000
ecmp	39	0.000000	0.000000
ecmp	40	0.000000	0.000000
ecmp	41	0.000000	0.000000
ecmp	42	0.000000	0.000000
ecmp	43	0.000000	0.000000
ecmp	44	0.000000	0.000000
ecmp	45	0.000000	0.000000
ecmp	46	0.000000	0.000000
ecmp	47	0.000000	0.000000
ecmp	48	0.000000	0.000000
ecmp	49	0.000000	0.000000
ecmp	50	0.000000	0.000000
ecmp	51	0.000000	0.000000
ecmp	52	0.000000	0.000000
ecmp	53	0.000000	0.000000
ecmp	54	0.000000	0.000000
ecmp	55	0.000000	0.000000
ecmp	56	0.000000	0.000000
ecmp	57	0.000000	0.000000
ecmp	58	0.000000	0.000000
ecmp	59	0.000000	0.000000
ecmp	60	0.000000	0.000000
ecmp	61	0.000000	0.000000
ecmp	62	0.000000	0.000000
ecmp	63	0.000000	0.000000
ecmp	64	0.000000	0.000000
ecmp	65	0.000000	0.000000
ecmp	66	0.000000	0.000000
ecmp	67	0.000000	0.000000
ecmp	68	0.000000	0.000000
ecmp	69	0.000000	0.000000
ecmp	70	0.000000	0.000000
ecmp	71	0.000000	0.000000
ecmp	72	0.000000	0.000000
ecmp	73	0.000000	0.000000
ecmp	74	0.000000	0.000000
ecmp	75	0.000000	0.000000
ecmp	76	0.000000	0.000000
ecmp	77	0.000000	0.000000
ecmp	78	0.000000	0.000000
ecmp	79	0.000000	0.000000
ecmp	80	0.000000	0.000000
ecmp	81	0.000000	0.000000
ecmp	82	0.000000	0.000000
ecmp	83	0.000000	0.000000
ecmp	84	0.000000	0.000000
ecmp	85	0.000000	0.000000
ecmp	86	0.000000	0.000000
ecmp	87	0.000000	0.000000
ecmp	88	0.000000	0.000000
ecmp	89	0.000000	0.000000
ecmp	90	0.000000	0.000000
ecmp	91	0.000000	0.000000
ecmp	92	0.000000	0.000000
ecmp	93	0.000000	0.000000
ecmp	94	0.000000	0.000000
ecmp	95	0.000000	0.000000
ecmp	96	0.000000	0.000000
ecmp	97	0.000000	0.000000
ecmp	98	0.000000	0.000000
ecmp	99	0.000000	0.000000
ecmp	100	0.000000	0.000000
ecmp	101	0.000000	0.000000
ecmp	102	0.000000	0.000000
ecmp	103	0.000000	0.000000
ecmp	104	0.000000	0.000000
ecmp	105	0.000000	0.000000
ecmp	106	0.000000	0.000000
ecmp	107	0.000000	0.000000
ecmp	108	0.000000	0.000000
ecmp	109	0.000000	0.000000
ecmp	110	0.000000	0.000000
ecmp	111	0.000000	0.000000
ecmp	112	0.000000	0.000000
ecmp	113	0.000000	0.000000
ecmp	114	0.000000	0.000000
ecmp	115	0.000000	0.000000
ecmp	116	0.000000	0.000000
ecmp	117	0.000000	0.000000
ecmp	118	0.000000	0.000000
ecmp	119	0.000000	0.000000
ecmp	120	0.000000	0.000000
