# solver	iter	congestion-drop	stddev
ecmp	0	0.115820	0.000000
ecmp	1	0.110306	0.000000
ecmp	2	0.109522	0.000000
ecmp	3	0.074905	0.000000
ecmp	4	0.049605	0.000000
ecmp	5	0.063079	0.000000
ecmp	6	0.049600	0.000000
ecmp	7	0.050020	0.000000
ecmp	8	0.059799	0.000000
ecmp	9	0.069961	0.000000
ecmp	10	0.073900	0.000000
ecmp	11	0.077690	0.000000
ecmp	12	0.098020	0.000000
ecmp	13	0.104393	0.000000
ecmp	14	0.108097	0.000000
ecmp	15	0.079778	0.000000
ecmp	16	0.076176	0.000000
ecmp	17	0.117018	0.000000
ecmp	18	0.123690	0.000000
ecmp	19	0.131841	0.000000
ecmp	20	0.135391	0.000000
ecmp	21	0.119544	0.000000
ecmp	22	0.135519	0.000000
ecmp	23	0.138865	0.000000
ecmp	24	0.131603	0.000000
ecmp	25	0.142832	0.000000
ecmp	26	0.127785	0.000000
ecmp	27	0.105317	0.000000
ecmp	28	0.077265	0.000000
ecmp	29	0.071152	0.000000
ecmp	30	0.135943	0.000000
ecmp	31	0.152616	0.000000
ecmp	32	0.172890	0.000000
ecmp	33	0.207360	0.000000
ecmp	34	0.197198	0.000000
ecmp	35	0.197948	0.000000
ecmp	36	0.209665	0.000000
ecmp	37	0.189799	0.000000
ecmp	38	0.196942	0.000000
ecmp	39	0.205396	0.000000
ecmp	40	0.164755	0.000000
ecmp	41	0.207392	0.000000
ecmp	42	0.179548	0.000000
ecmp	43	0.171602	0.000000
ecmp	44	0.173865	0.000000
ecmp	45	0.152402	0.000000
ecmp	46	0.143265	0.000000
ecmp	47	0.142554	0.000000
ecmp	48	0.140777	0.000000
ecmp	49	0.144352	0.000000
ecmp	50	0.151936	0.000000
ecmp	51	0.109523	0.000000
ecmp	52	0.087296	0.000000
ecmp	53	0.113719	0.000000
ecmp	54	0.147734	0.000000
ecmp	55	0.181610	0.000000
ecmp	56	0.198690	0.000000
ecmp	57	0.203376	0.000000
ecmp	58	0.217593	0.000000
ecmp	59	0.211974	0.000000
ecmp	60	0.211698	0.000000
ecmp	61	0.209453	0.000000
ecmp	62	0.209596	0.000000
ecmp	63	0.180563	0.000000
ecmp	64	0.170783	0.000000
ecmp	65	0.162146	0.000000
ecmp	66	0.168230	0.000000
ecmp	67	0.162076	0.000000
ecmp	68	0.162192	0.000000
ecmp	69	0.151476	0.000000
ecmp	70	0.126690	0.000000
ecmp	71	0.130352	0.000000
ecmp	72	0.135246	0.000000
ecmp	73	0.137350	0.000000
ecmp	74	0.110594	0.000000
ecmp	75	0.095808	0.000000
ecmp	76	0.078734	0.000000
ecmp	77	0.100952	0.000000
ecmp	78	0.134204	0.000000
ecmp	79	0.181250	0.000000
ecmp	80	0.204673	0.000000
ecmp	81	0.203165	0.000000
ecmp	82	0.221096	0.000000
ecmp	83	0.210509	0.000000
ecmp	84	0.206224	0.000000
ecmp	85	0.211942	0.000000
ecmp	86	0.215149	0.000000
ecmp	87	0.198480	0.000000
ecmp	88	0.187733	0.000000
ecmp	89	0.191163	0.000000
ecmp	90	0.188504	0.000000
ecmp	91	0.177627	0.000000
