# solver	iter	congestion-drop	stddev
semimcfksp	0	0.000000	0.000000
semimcfksp	1	0.000000	0.000000
semimcfksp	2	0.000000	0.000000
semimcfksp	3	0.000000	0.000000
semimcfksp	4	0.000000	0.000000
semimcfksp	5	0.000000	0.000000
semimcfksp	6	0.000000	0.000000
semimcfksp	7	0.000000	0.000000
semimcfksp	8	0.000000	0.000000
semimcfksp	9	0.000000	0.000000
semimcfksp	10	0.000000	0.000000
semimcfksp	11	0.000000	0.000000
semimcfksp	12	0.000000	0.000000
semimcfksp	13	0.000000	0.000000
semimcfksp	14	0.000000	0.000000
semimcfksp	15	0.000000	0.000000
semimcfksp	16	0.000000	0.000000
semimcfksp	17	0.000000	0.000000
semimcfksp	18	0.008708	0.000000
semimcfksp	19	0.020913	0.000000
semimcfksp	20	0.026386	0.000000
semimcfksp	21	0.002688	0.000000
semimcfksp	22	0.027050	0.000000
semimcfksp	23	0.032132	0.000000
semimcfksp	24	0.019825	0.000000
semimcfksp	25	0.035084	0.000000
semimcfksp	26	0.012854	0.000000
semimcfksp	27	0.000000	0.000000
semimcfksp	28	0.000000	0.000000
semimcfksp	29	0.000000	0.000000
semimcfksp	30	0.024315	0.000000
semimcfksp	31	0.051102	0.000000
semimcfksp	32	0.082069	0.000000
semimcfksp	33	0.147648	0.000000
semimcfksp	34	0.123981	0.000000
semimcfksp	35	0.127367	0.000000
semimcfksp	36	0.161525	0.000000
semimcfksp	37	0.112098	0.000000
semimcfksp	38	0.120365	0.000000
semimcfksp	39	0.133166	0.000000
semimcfksp	40	0.071358	0.000000
semimcfksp	41	0.153174	0.000000
semimcfksp	42	0.093819	0.000000
semimcfksp	43	0.080611	0.000000
semimcfksp	44	0.084655	0.000000
semimcfksp	45	0.053349	0.000000
semimcfksp	46	0.037215	0.000000
semimcfksp	47	0.037992	0.000000
semimcfksp	48	0.035901	0.000000
semimcfksp	49	0.040665	0.000000
semimcfksp	50	0.048410	0.000000
semimcfksp	51	0.000000	0.000000
semimcfksp	52	0.000000	0.000000
semimcfksp	53	0.000000	0.000000
semimcfksp	54	0.040716	0.000000
semimcfksp	55	0.090794	0.000000
semimcfksp	56	0.116302	0.000000
semimcfksp	57	0.129644	0.000000
semimcfksp	58	0.162209	0.000000
semimcfksp	59	0.152089	0.000000
semimcfksp	60	0.155918	0.000000
semimcfksp	61	0.147368	0.000000
semimcfksp	62	0.147960	0.000000
semimcfksp	63	0.092838	0.000000
semimcfksp	64	0.077927	0.000000
semimcfksp	65	0.064716	0.000000
semimcfksp	66	0.075622	0.000000
semimcfksp	67	0.066504	0.000000
semimcfksp	68	0.066830	0.000000
semimcfksp	69	0.049673	0.000000
semimcfksp	70	0.009420	0.000000
semimcfksp	71	0.014887	0.000000
semimcfksp	72	0.022534	0.000000
semimcfksp	73	0.028482	0.000000
semimcfksp	74	0.000000	0.000000
semimcfksp	75	0.000000	0.000000
semimcfksp	76	0.000000	0.000000
semimcfksp	77	0.000000	0.000000
semimcfksp	78	0.023128	0.000000
semimcfksp	79	0.094770	0.000000
semimcfksp	80	0.138082	0.000000
semimcfksp	81	0.135829	0.000000
semimcfksp	82	0.178995	0.000000
semimcfksp	83	0.149252	0.000000
semimcfksp	84	0.140380	0.000000
semimcfksp	85	0.154335	0.000000
semimcfksp	86	0.165100	0.000000
semimcfksp	87	0.122380	0.000000
semimcfksp	88	0.102927	0.000000
semimcfksp	89	0.109518	0.000000
semimcfksp	90	0.104922	0.000000
semimcfksp	91	0.087776	0.000000
semimcfksp	92	0.062970	0.000000
semimcfksp	93	0.060829	0.000000
semimcfksp	94	0.039141	0.000000
semimcfksp	95	0.057036	0.000000
semimcfksp	96	0.067091	0.000000
semimcfksp	97	0.074225	0.000000
semimcfksp	98	0.066959	0.000000
semimcfksp	99	0.029361	0.000000
semimcfksp	100	0.018741	0.000000
semimcfksp	101	0.035812	0.000000
semimcfksp	102	0.059036	0.000000
semimcfksp	103	0.109722	0.000000
semimcfksp	104	0.149218	0.000000
semimcfksp	105	0.153577	0.000000
semimcfksp	106	0.166166	0.000000
semimcfksp	107	0.174518	0.000000
semimcfksp	108	0.171710	0.000000
semimcfksp	109	0.141784	0.000000
semimcfksp	110	0.142006	0.000000
semimcfksp	111	0.096680	0.000000
semimcfksp	112	0.063803	0.000000
semimcfksp	113	0.074334	0.000000
semimcfksp	114	0.068786	0.000000
semimcfksp	115	0.048749	0.000000
semimcfksp	116	0.059576	0.000000
semimcfksp	117	0.034003	0.000000
semimcfksp	118	0.039696	0.000000
semimcfksp	119	0.036555	0.000000
semimcfksp	120	0.064132	0.000000
semimcfksp	121	0.042791	0.000000
semimcfksp	122	0.047774	0.000000
semimcfksp	123	0.000000	0.000000
semimcfksp	124	0.000000	0.000000
semimcfksp	125	0.000000	0.000000
semimcfksp	126	0.034584	0.000000
semimcfksp	127	0.073707	0.000000
semimcfksp	128	0.138476	0.000000
semimcfksp	129	0.096019	0.000000
semimcfksp	130	0.101374	0.000000
semimcfksp	131	0.119577	0.000000
semimcfksp	132	0.086804	0.000000
semimcfksp	133	0.057195	0.000000
semimcfksp	134	0.049351	0.000000
semimcfksp	135	0.012441	0.000000
semimcfksp	136	0.001536	0.000000
semimcfksp	137	0.009477	0.000000
semimcfksp	138	0.000000	0.000000
semimcfksp	139	0.000000	0.000000
semimcfksp	140	0.000000	0.000000
semimcfksp	141	0.000000	0.000000
semimcfksp	142	0.000000	0.000000
semimcfksp	143	0.000000	0.000000
semimcfksp	144	0.011338	0.000000
semimcfksp	145	0.000000	0.000000
semimcfksp	146	0.000000	0.000000
semimcfksp	147	0.000000	0.000000
semimcfksp	148	0.000000	0.000000
semimcfksp	149	0.000000	0.000000
semimcfksp	150	0.000000	0.000000
semimcfksp	151	0.000000	0.000000
semimcfksp	152	0.000000	0.000000
semimcfksp	153	0.000000	0.000000
semimcfksp	154	0.000000	0.000000
semimcfksp	155	0.000000	0.000000
semimcfksp	156	0.000000	0.000000
semimcfksp	157	0.000000	0.000000
semimcfksp	158	0.000000	0.000000
semimcfksp	159	0.000000	0.000000
semimcfksp	160	0.000000	0.000000
semimcfksp	161	0.000000	0.000000
semimcfksp	162	0.000000	0.000000
semimcfksp	163	0.000000	0.000000
semimcfksp	164	0.000000	0.000000
semimcfksp	165	0.000000	0.000000
