# solver	iter	churn	stddev
cspf	0	132.000000	0.000000
cspf	1	16.000000	0.000000
cspf	2	30.000000	0.000000
cspf	3	26.000000	0.000000
cspf	4	26.000000	0.000000
cspf	5	32.000000	0.000000
cspf	6	0.000000	0.000000
cspf	7	0.000000	0.000000
cspf	8	24.000000	0.000000
cspf	9	32.000000	0.000000
cspf	10	0.000000	0.000000
cspf	11	0.000000	0.000000
cspf	12	30.000000	0.000000
cspf	13	34.000000	0.000000
cspf	14	30.000000	0.000000
cspf	15	32.000000	0.000000
cspf	16	26.000000	0.000000
cspf	17	36.000000	0.000000
cspf	18	24.000000	0.000000
cspf	19	30.000000	0.000000
cspf	20	38.000000	0.000000
cspf	21	26.000000	0.000000
cspf	22	32.000000	0.000000
cspf	23	44.000000	0.000000
cspf	24	36.000000	0.000000
cspf	25	38.000000	0.000000
cspf	26	34.000000	0.000000
cspf	27	34.000000	0.000000
cspf	28	28.000000	0.000000
cspf	29	34.000000	0.000000
cspf	30	26.000000	0.000000
cspf	31	42.000000	0.000000
cspf	32	34.000000	0.000000
cspf	33	38.000000	0.000000
cspf	34	32.000000	0.000000
cspf	35	38.000000	0.000000
mcf	0	132.000000	0.000000
mcf	1	38.000000	0.000000
mcf	2	58.000000	0.000000
mcf	3	68.000000	0.000000
mcf	4	54.000000	0.000000
mcf	5	52.000000	0.000000
mcf	6	66.000000	0.000000
mcf	7	74.000000	0.000000
mcf	8	78.000000	0.000000
mcf	9	72.000000	0.000000
mcf	10	62.000000	0.000000
mcf	11	40.000000	0.000000
mcf	12	50.000000	0.000000
mcf	13	64.000000	0.000000
mcf	14	74.000000	0.000000
mcf	15	58.000000	0.000000
mcf	16	56.000000	0.000000
mcf	17	62.000000	0.000000
mcf	18	70.000000	0.000000
mcf	19	66.000000	0.000000
mcf	20	68.000000	0.000000
mcf	21	56.000000	0.000000
mcf	22	70.000000	0.000000
mcf	23	78.000000	0.000000
mcf	24	76.000000	0.000000
mcf	25	68.000000	0.000000
mcf	26	62.000000	0.000000
mcf	27	62.000000	0.000000
mcf	28	64.000000	0.000000
mcf	29	44.000000	0.000000
mcf	30	68.000000	0.000000
mcf	31	56.000000	0.000000
mcf	32	90.000000	0.000000
mcf	33	78.000000	0.000000
mcf	34	82.000000	0.000000
mcf	35	54.000000	0.000000
helixMC	0	286.000000	0.000000
helixMC	1	0.000000	0.000000
helixMC	2	0.000000	0.000000
helixMC	3	0.000000	0.000000
helixMC	4	0.000000	0.000000
helixMC	5	0.000000	0.000000
helixMC	6	0.000000	0.000000
helixMC	7	0.000000	0.000000
helixMC	8	2.000000	0.000000
helixMC	9	0.000000	0.000000
helixMC	10	8.000000	0.000000
helixMC	11	4.000000	0.000000
helixMC	12	2.000000	0.000000
helixMC	13	26.000000	0.000000
helixMC	14	0.000000	0.000000
helixMC	15	2.000000	0.000000
helixMC	16	6.000000	0.000000
helixMC	17	10.000000	0.000000
helixMC	18	12.000000	0.000000
helixMC	19	10.000000	0.000000
helixMC	20	18.000000	0.000000
helixMC	21	20.000000	0.000000
helixMC	22	16.000000	0.000000
helixMC	23	8.000000	0.000000
helixMC	24	8.000000	0.000000
helixMC	25	10.000000	0.000000
helixMC	26	8.000000	0.000000
helixMC	27	2.000000	0.000000
helixMC	28	2.000000	0.000000
helixMC	29	18.000000	0.000000
helixMC	30	14.000000	0.000000
helixMC	31	0.000000	0.000000
helixMC	32	2.000000	0.000000
helixMC	33	14.000000	0.000000
helixMC	34	12.000000	0.000000
helixMC	35	8.000000	0.000000

