# solver	iter	congestion-drop	stddev
ecmp	0	0.078198	0.000000
ecmp	1	0.084660	0.000000
ecmp	2	0.088250	0.000000
ecmp	3	0.088475	0.000000
ecmp	4	0.077619	0.000000
ecmp	5	0.067391	0.000000
ecmp	6	0.066414	0.000000
ecmp	7	0.062761	0.000000
ecmp	8	0.069510	0.000000
ecmp	9	0.064051	0.000000
ecmp	10	0.063128	0.000000
ecmp	11	0.065205	0.000000
ecmp	12	0.070149	0.000000
ecmp	13	0.077153	0.000000
ecmp	14	0.079371	0.000000
ecmp	15	0.080477	0.000000
ecmp	16	0.077740	0.000000
ecmp	17	0.083081	0.000000
ecmp	18	0.066647	0.000000
ecmp	19	0.056522	0.000000
ecmp	20	0.073883	0.000000
ecmp	21	0.076870	0.000000
ecmp	22	0.079542	0.000000
ecmp	23	0.065298	0.000000
ecmp	24	0.065335	0.000000
ecmp	25	0.074844	0.000000
ecmp	26	0.081717	0.000000
ecmp	27	0.088759	0.000000
ecmp	28	0.089587	0.000000
ecmp	29	0.072659	0.000000
ecmp	30	0.085291	0.000000
ecmp	31	0.081225	0.000000
ecmp	32	0.095259	0.000000
ecmp	33	0.076031	0.000000
ecmp	34	0.090488	0.000000
ecmp	35	0.076352	0.000000
raeke	0	0.162008	0.000000
raeke	1	0.145771	0.000000
raeke	2	0.170947	0.000000
raeke	3	0.178345	0.000000
raeke	4	0.161218	0.000000
raeke	5	0.152290	0.000000
raeke	6	0.157266	0.000000
raeke	7	0.152711	0.000000
raeke	8	0.151918	0.000000
raeke	9	0.147985	0.000000
raeke	10	0.139602	0.000000
raeke	11	0.141021	0.000000
raeke	12	0.168624	0.000000
raeke	13	0.184057	0.000000
raeke	14	0.176769	0.000000
raeke	15	0.188921	0.000000
raeke	16	0.183048	0.000000
raeke	17	0.185068	0.000000
raeke	18	0.169635	0.000000
raeke	19	0.147819	0.000000
raeke	20	0.175503	0.000000
raeke	21	0.167740	0.000000
raeke	22	0.179988	0.000000
raeke	23	0.163482	0.000000
raeke	24	0.168972	0.000000
raeke	25	0.184411	0.000000
raeke	26	0.190989	0.000000
raeke	27	0.188793	0.000000
raeke	28	0.193420	0.000000
raeke	29	0.177541	0.000000
raeke	30	0.203141	0.000000
raeke	31	0.192616	0.000000
raeke	32	0.211728	0.000000
raeke	33	0.195387	0.000000
raeke	34	0.203460	0.000000
raeke	35	0.176679	0.000000
vlb	0	0.206576	0.000000
vlb	1	0.187696	0.000000
vlb	2	0.213020	0.000000
vlb	3	0.207315	0.000000
vlb	4	0.192719	0.000000
vlb	5	0.188127	0.000000
vlb	6	0.201353	0.000000
vlb	7	0.193335	0.000000
vlb	8	0.198761	0.000000
vlb	9	0.181733	0.000000
vlb	10	0.171514	0.000000
vlb	11	0.175170	0.000000
vlb	12	0.198705	0.000000
vlb	13	0.218984	0.000000
vlb	14	0.214682	0.000000
vlb	15	0.221830	0.000000
vlb	16	0.225125	0.000000
vlb	17	0.233855	0.000000
vlb	18	0.217512	0.000000
vlb	19	0.186671	0.000000
vlb	20	0.221023	0.000000
vlb	21	0.216655	0.000000
vlb	22	0.220168	0.000000
vlb	23	0.195638	0.000000
vlb	24	0.204134	0.000000
vlb	25	0.218892	0.000000
vlb	26	0.230721	0.000000
vlb	27	0.228114	0.000000
vlb	28	0.234956	0.000000
vlb	29	0.214368	0.000000
vlb	30	0.242464	0.000000
vlb	31	0.235799	0.000000
vlb	32	0.257486	0.000000
vlb	33	0.237988	0.000000
vlb	34	0.253565	0.000000
vlb	35	0.223865	0.000000

