# solver	iter	churn	stddev
ecmp	0	168.000000	0.000000
ecmp	1	0.000000	0.000000
ecmp	2	0.000000	0.000000
ecmp	3	0.000000	0.000000
ecmp	4	0.000000	0.000000
ecmp	5	0.000000	0.000000
ecmp	6	0.000000	0.000000
ecmp	7	0.000000	0.000000
ecmp	8	0.000000	0.000000
ecmp	9	0.000000	0.000000
ecmp	10	0.000000	0.000000
ecmp	11	0.000000	0.000000
ecmp	12	0.000000	0.000000
ecmp	13	0.000000	0.000000
ecmp	14	0.000000	0.000000
ecmp	15	0.000000	0.000000
ecmp	16	0.000000	0.000000
ecmp	17	0.000000	0.000000
ecmp	18	0.000000	0.000000
ecmp	19	0.000000	0.000000
ecmp	20	0.000000	0.000000
ecmp	21	0.000000	0.000000
ecmp	22	0.000000	0.000000
ecmp	23	0.000000	0.000000
ecmp	24	0.000000	0.000000
ecmp	25	0.000000	0.000000
ecmp	26	0.000000	0.000000
ecmp	27	0.000000	0.000000
ecmp	28	0.000000	0.000000
ecmp	29	0.000000	0.000000
ecmp	30	0.000000	0.000000
ecmp	31	0.000000	0.000000
ecmp	32	0.000000	0.000000
ecmp	33	0.000000	0.000000
ecmp	34	0.000000	0.000000
ecmp	35	0.000000	0.000000
raeke	0	509.000000	0.000000
raeke	1	0.000000	0.000000
raeke	2	0.000000	0.000000
raeke	3	0.000000	0.000000
raeke	4	0.000000	0.000000
raeke	5	0.000000	0.000000
raeke	6	0.000000	0.000000
raeke	7	0.000000	0.000000
raeke	8	0.000000	0.000000
raeke	9	0.000000	0.000000
raeke	10	0.000000	0.000000
raeke	11	0.000000	0.000000
raeke	12	0.000000	0.000000
raeke	13	0.000000	0.000000
raeke	14	0.000000	0.000000
raeke	15	0.000000	0.000000
raeke	16	0.000000	0.000000
raeke	17	0.000000	0.000000
raeke	18	0.000000	0.000000
raeke	19	0.000000	0.000000
raeke	20	0.000000	0.000000
raeke	21	0.000000	0.000000
raeke	22	0.000000	0.000000
raeke	23	0.000000	0.000000
raeke	24	0.000000	0.000000
raeke	25	0.000000	0.000000
raeke	26	0.000000	0.000000
raeke	27	0.000000	0.000000
raeke	28	0.000000	0.000000
raeke	29	0.000000	0.000000
raeke	30	0.000000	0.000000
raeke	31	0.000000	0.000000
raeke	32	0.000000	0.000000
raeke	33	0.000000	0.000000
raeke	34	0.000000	0.000000
raeke	35	0.000000	0.000000
vlb	0	463.000000	0.000000
vlb	1	0.000000	0.000000
vlb	2	0.000000	0.000000
vlb	3	0.000000	0.000000
vlb	4	0.000000	0.000000
vlb	5	0.000000	0.000000
vlb	6	0.000000	0.000000
vlb	7	0.000000	0.000000
vlb	8	0.000000	0.000000
vlb	9	0.000000	0.000000
vlb	10	0.000000	0.000000
vlb	11	0.000000	0.000000
vlb	12	0.000000	0.000000
vlb	13	0.000000	0.000000
vlb	14	0.000000	0.000000
vlb	15	0.000000	0.000000
vlb	16	0.000000	0.000000
vlb	17	0.000000	0.000000
vlb	18	0.000000	0.000000
vlb	19	0.000000	0.000000
vlb	20	0.000000	0.000000
vlb	21	0.000000	0.000000
vlb	22	0.000000	0.000000
vlb	23	0.000000	0.000000
vlb	24	0.000000	0.000000
vlb	25	0.000000	0.000000
vlb	26	0.000000	0.000000
vlb	27	0.000000	0.000000
vlb	28	0.000000	0.000000
vlb	29	0.000000	0.000000
vlb	30	0.000000	0.000000
vlb	31	0.000000	0.000000
vlb	32	0.000000	0.000000
vlb	33	0.000000	0.000000
vlb	34	0.000000	0.000000
vlb	35	0.000000	0.000000

