# solver	iter	congestion-drop	stddev
cspf	0	0.107464	0.000000
cspf	1	0.113925	0.000000
cspf	2	0.122559	0.000000
cspf	3	0.132421	0.000000
cspf	4	0.111105	0.000000
cspf	5	0.105030	0.000000
cspf	6	0.118913	0.000000
cspf	7	0.100381	0.000000
cspf	8	0.106322	0.000000
cspf	9	0.093931	0.000000
cspf	10	0.096674	0.000000
cspf	11	0.093584	0.000000
cspf	12	0.126583	0.000000
cspf	13	0.129912	0.000000
cspf	14	0.134105	0.000000
cspf	15	0.142934	0.000000
cspf	16	0.157922	0.000000
cspf	17	0.169515	0.000000
cspf	18	0.150405	0.000000
cspf	19	0.133416	0.000000
cspf	20	0.137637	0.000000
cspf	21	0.131055	0.000000
cspf	22	0.132634	0.000000
cspf	23	0.126799	0.000000
cspf	24	0.120793	0.000000
cspf	25	0.139394	0.000000
cspf	26	0.179765	0.000000
cspf	27	0.173195	0.000000
cspf	28	0.172649	0.000000
cspf	29	0.159101	0.000000
cspf	30	0.185557	0.000000
cspf	31	0.166425	0.000000
cspf	32	0.178136	0.000000
cspf	33	0.168232	0.000000
cspf	34	0.183867	0.000000
cspf	35	0.158020	0.000000
mcf	0	0.166196	0.000000
mcf	1	0.176374	0.000000
mcf	2	0.184883	0.000000
mcf	3	0.147709	0.000000
mcf	4	0.172781	0.000000
mcf	5	0.140655	0.000000
mcf	6	0.150674	0.000000
mcf	7	0.126768	0.000000
mcf	8	0.142717	0.000000
mcf	9	0.153027	0.000000
mcf	10	0.110547	0.000000
mcf	11	0.131275	0.000000
mcf	12	0.155673	0.000000
mcf	13	0.174462	0.000000
mcf	14	0.169609	0.000000
mcf	15	0.154283	0.000000
mcf	16	0.185340	0.000000
mcf	17	0.215211	0.000000
mcf	18	0.152269	0.000000
mcf	19	0.161837	0.000000
mcf	20	0.199349	0.000000
mcf	21	0.165102	0.000000
mcf	22	0.172018	0.000000
mcf	23	0.151736	0.000000
mcf	24	0.159487	0.000000
mcf	25	0.187248	0.000000
mcf	26	0.171182	0.000000
mcf	27	0.184598	0.000000
mcf	28	0.207605	0.000000
mcf	29	0.204333	0.000000
mcf	30	0.203772	0.000000
mcf	31	0.190491	0.000000
mcf	32	0.214106	0.000000
mcf	33	0.183621	0.000000
mcf	34	0.196518	0.000000
mcf	35	0.194910	0.000000
helixMC	0	0.102904	0.000000
helixMC	1	0.092240	0.000000
helixMC	2	0.096493	0.000000
helixMC	3	0.101617	0.000000
helixMC	4	0.093608	0.000000
helixMC	5	0.079038	0.000000
helixMC	6	0.084911	0.000000
helixMC	7	0.079908	0.000000
helixMC	8	0.083248	0.000000
helixMC	9	0.076826	0.000000
helixMC	10	0.076046	0.000000
helixMC	11	0.077435	0.000000
helixMC	12	0.090392	0.000000
helixMC	13	0.104969	0.000000
helixMC	14	0.100339	0.000000
helixMC	15	0.108671	0.000000
helixMC	16	0.100254	0.000000
helixMC	17	0.106666	0.000000
helixMC	18	0.091871	0.000000
helixMC	19	0.079638	0.000000
helixMC	20	0.102390	0.000000
helixMC	21	0.097476	0.000000
helixMC	22	0.100797	0.000000
helixMC	23	0.089839	0.000000
helixMC	24	0.091363	0.000000
helixMC	25	0.105084	0.000000
helixMC	26	0.106840	0.000000
helixMC	27	0.111933	0.000000
helixMC	28	0.122354	0.000000
helixMC	29	0.103892	0.000000
helixMC	30	0.126361	0.000000
helixMC	31	0.118701	0.000000
helixMC	32	0.126501	0.000000
helixMC	33	0.111332	0.000000
helixMC	34	0.121967	0.000000
helixMC	35	0.105769	0.000000

