# solver	iter	congestion-drop	stddev
semimcfksp	0	0.110967	0.000000
semimcfksp	1	0.112866	0.000000
semimcfksp	2	0.123265	0.000000
semimcfksp	3	0.128381	0.000000
semimcfksp	4	0.115408	0.000000
semimcfksp	5	0.112710	0.000000
semimcfksp	6	0.107182	0.000000
semimcfksp	7	0.096681	0.000000
semimcfksp	8	0.118496	0.000000
semimcfksp	9	0.101677	0.000000
semimcfksp	10	0.094064	0.000000
semimcfksp	11	0.095452	0.000000
semimcfksp	12	0.113788	0.000000
semimcfksp	13	0.154408	0.000000
semimcfksp	14	0.143998	0.000000
semimcfksp	15	0.156017	0.000000
semimcfksp	16	0.138029	0.000000
semimcfksp	17	0.138795	0.000000
semimcfksp	18	0.146314	0.000000
semimcfksp	19	0.122886	0.000000
semimcfksp	20	0.156943	0.000000
semimcfksp	21	0.124466	0.000000
semimcfksp	22	0.122304	0.000000
semimcfksp	23	0.123534	0.000000
semimcfksp	24	0.115088	0.000000
semimcfksp	25	0.135243	0.000000
semimcfksp	26	0.153989	0.000000
semimcfksp	27	0.161513	0.000000
semimcfksp	28	0.163916	0.000000
semimcfksp	29	0.114131	0.000000
semimcfksp	30	0.161067	0.000000
semimcfksp	31	0.170875	0.000000
semimcfksp	32	0.184319	0.000000
semimcfksp	33	0.149117	0.000000
semimcfksp	34	0.158798	0.000000
semimcfksp	35	0.129447	0.000000

