# solver	iter	congestion-drop	stddev
cspf	0	0.001867	0.000000
cspf	1	0.000000	0.000000
cspf	2	0.000000	0.000000
cspf	3	0.000000	0.000000
cspf	4	0.000000	0.000000
cspf	5	0.000000	0.000000
cspf	6	0.000000	0.000000
cspf	7	0.000000	0.000000
cspf	8	0.000000	0.000000
cspf	9	0.000000	0.000000
cspf	10	0.000000	0.000000
cspf	11	0.000000	0.000000
cspf	12	0.000000	0.000000
cspf	13	0.000000	0.000000
cspf	14	0.000000	0.000000
cspf	15	0.000000	0.000000
cspf	16	0.000000	0.000000
cspf	17	0.000000	0.000000
cspf	18	0.002474	0.000000
cspf	19	0.008874	0.000000
cspf	20	0.011389	0.000000
cspf	21	0.000000	0.000000
cspf	22	0.016567	0.000000
cspf	23	0.020739	0.000000
cspf	24	0.014421	0.000000
cspf	25	0.026621	0.000000
cspf	26	0.009336	0.000000
cspf	27	0.000000	0.000000
cspf	28	0.000000	0.000000
cspf	29	0.000000	0.000000
cspf	30	0.020874	0.000000
cspf	31	0.051930	0.000000
cspf	32	0.105095	0.000000
cspf	33	0.211432	0.000000
cspf	34	0.168463	0.000000
cspf	35	0.180271	0.000000
cspf	36	0.223530	0.000000
cspf	37	0.153403	0.000000
cspf	38	0.174898	0.000000
cspf	39	0.202478	0.000000
cspf	40	0.089237	0.000000
cspf	41	0.224170	0.000000
cspf	42	0.132956	0.000000
cspf	43	0.103275	0.000000
cspf	44	0.103498	0.000000
cspf	45	0.057483	0.000000
cspf	46	0.035075	0.000000
cspf	47	0.031008	0.000000
cspf	48	0.030529	0.000000
cspf	49	0.038941	0.000000
cspf	50	0.047970	0.000000
cspf	51	0.000000	0.000000
cspf	52	0.000000	0.000000
cspf	53	0.000000	0.000000
cspf	54	0.033038	0.000000
cspf	55	0.122127	0.000000
cspf	56	0.168616	0.000000
cspf	57	0.183074	0.000000
cspf	58	0.214096	0.000000
cspf	59	0.212597	0.000000
cspf	60	0.225711	0.000000
cspf	61	0.219067	0.000000
cspf	62	0.215322	0.000000
cspf	63	0.136245	0.000000
cspf	64	0.104364	0.000000
cspf	65	0.089121	0.000000
cspf	66	0.102928	0.000000
cspf	67	0.080825	0.000000
cspf	68	0.088634	0.000000
cspf	69	0.050040	0.000000
cspf	70	0.010977	0.000000
cspf	71	0.015164	0.000000
cspf	72	0.014724	0.000000
cspf	73	0.015544	0.000000
cspf	74	0.000000	0.000000
cspf	75	0.000000	0.000000
cspf	76	0.000000	0.000000
cspf	77	0.000000	0.000000
cspf	78	0.015242	0.000000
cspf	79	0.113932	0.000000
cspf	80	0.192728	0.000000
cspf	81	0.188979	0.000000
cspf	82	0.238037	0.000000
cspf	83	0.197808	0.000000
cspf	84	0.190566	0.000000
cspf	85	0.207103	0.000000
cspf	86	0.223549	0.000000
cspf	87	0.167980	0.000000
cspf	88	0.139098	0.000000
cspf	89	0.138179	0.000000
cspf	90	0.136158	0.000000
cspf	91	0.101995	0.000000
cspf	92	0.070137	0.000000
cspf	93	0.069761	0.000000
cspf	94	0.027711	0.000000
cspf	95	0.046788	0.000000
cspf	96	0.066471	0.000000
cspf	97	0.077467	0.000000
cspf	98	0.071666	0.000000
cspf	99	0.018973	0.000000
cspf	100	0.013044	0.000000
cspf	101	0.016306	0.000000
cspf	102	0.051916	0.000000
cspf	103	0.145190	0.000000
cspf	104	0.218051	0.000000
cspf	105	0.217325	0.000000
cspf	106	0.230244	0.000000
cspf	107	0.242455	0.000000
cspf	108	0.229444	0.000000
cspf	109	0.200989	0.000000
cspf	110	0.208017	0.000000
cspf	111	0.138671	0.000000
cspf	112	0.080162	0.000000
cspf	113	0.095943	0.000000
cspf	114	0.087371	0.000000
cspf	115	0.057055	0.000000
cspf	116	0.078283	0.000000
cspf	117	0.038489	0.000000
cspf	118	0.045963	0.000000
cspf	119	0.042460	0.000000
cspf	120	0.087857	0.000000
cspf	121	0.035119	0.000000
cspf	122	0.030233	0.000000
cspf	123	0.000000	0.000000
cspf	124	0.000000	0.000000
cspf	125	0.000000	0.000000
cspf	126	0.025222	0.000000
cspf	127	0.080975	0.000000
cspf	128	0.195125	0.000000
cspf	129	0.126590	0.000000
cspf	130	0.126313	0.000000
cspf	131	0.164934	0.000000
cspf	132	0.099710	0.000000
cspf	133	0.051823	0.000000
cspf	134	0.046797	0.000000
cspf	135	0.009688	0.000000
cspf	136	0.000000	0.000000
cspf	137	0.000000	0.000000
cspf	138	0.000000	0.000000
cspf	139	0.000000	0.000000
cspf	140	0.000000	0.000000
cspf	141	0.000000	0.000000
cspf	142	0.000000	0.000000
cspf	143	0.000000	0.000000
cspf	144	0.007416	0.000000
cspf	145	0.000000	0.000000
cspf	146	0.000000	0.000000
cspf	147	0.000000	0.000000
cspf	148	0.000000	0.000000
cspf	149	0.000000	0.000000
cspf	150	0.000000	0.000000
cspf	151	0.000000	0.000000
cspf	152	0.000000	0.000000
cspf	153	0.000000	0.000000
cspf	154	0.000000	0.000000
cspf	155	0.000000	0.000000
cspf	156	0.000000	0.000000
cspf	157	0.000000	0.000000
cspf	158	0.000000	0.000000
cspf	159	0.000000	0.000000
cspf	160	0.000000	0.000000
cspf	161	0.000000	0.000000
cspf	162	0.000000	0.000000
cspf	163	0.000000	0.000000
cspf	164	0.000352	0.000000
cspf	165	0.000000	0.000000
cspf	166	0.000000	0.000000
cspf	167	0.000000	0.000000
cspf	168	0.004329	0.000000
cspf	169	0.000000	0.000000
cspf	170	0.000000	0.000000
cspf	171	0.000000	0.000000
cspf	172	0.000000	0.000000
cspf	173	0.000000	0.000000
cspf	174	0.000000	0.000000
cspf	175	0.000000	0.000000
cspf	176	0.000000	0.000000
cspf	177	0.000000	0.000000
cspf	178	0.000000	0.000000
cspf	179	0.000000	0.000000
cspf	180	0.000000	0.000000
cspf	181	0.000000	0.000000
cspf	182	0.000000	0.000000
cspf	183	0.000000	0.000000
cspf	184	0.000000	0.000000
cspf	185	0.000000	0.000000
cspf	186	0.000000	0.000000
cspf	187	0.006695	0.000000
cspf	188	0.012918	0.000000
cspf	189	0.000000	0.000000
cspf	190	0.014102	0.000000
cspf	191	0.018334	0.000000
cspf	192	0.011727	0.000000
cspf	193	0.023168	0.000000
cspf	194	0.008322	0.000000
cspf	195	0.000000	0.000000
cspf	196	0.000000	0.000000
cspf	197	0.000000	0.000000
cspf	198	0.016791	0.000000
cspf	199	0.056151	0.000000
helixMC	0	0.119331	0.000000
helixMC	1	0.088768	0.000000
helixMC	2	0.088962	0.000000
helixMC	3	0.000000	0.000000
helixMC	4	0.000000	0.000000
helixMC	5	0.000000	0.000000
helixMC	6	0.000000	0.000000
