# solver	iter	congestion-drop	stddev
mcf	0	0.006238	0.000000
mcf	1	0.000000	0.000000
mcf	2	0.000000	0.000000
mcf	3	0.000000	0.000000
mcf	4	0.000000	0.000000
mcf	5	0.000000	0.000000
mcf	6	0.000000	0.000000
mcf	7	0.000000	0.000000
mcf	8	0.000000	0.000000
mcf	9	0.000000	0.000000
mcf	10	0.000000	0.000000
mcf	11	0.000000	0.000000
mcf	12	0.000000	0.000000
mcf	13	0.000000	0.000000
mcf	14	0.000000	0.000000
mcf	15	0.000000	0.000000
mcf	16	0.000000	0.000000
mcf	17	0.000000	0.000000
mcf	18	0.001960	0.000000
mcf	19	0.017442	0.000000
mcf	20	0.018048	0.000000
mcf	21	0.000000	0.000000
mcf	22	0.037174	0.000000
mcf	23	0.033535	0.000000
mcf	24	0.018122	0.000000
mcf	25	0.039609	0.000000
mcf	26	0.013910	0.000000
mcf	27	0.000000	0.000000
mcf	28	0.000000	0.000000
mcf	29	0.000000	0.000000
mcf	30	0.034810	0.000000
mcf	31	0.074867	0.000000
mcf	32	0.108004	0.000000
mcf	33	0.222652	0.000000
mcf	34	0.172184	0.000000
mcf	35	0.178654	0.000000
mcf	36	0.224303	0.000000
mcf	37	0.182143	0.000000
mcf	38	0.165956	0.000000
mcf	39	0.211704	0.000000
mcf	40	0.091533	0.000000
mcf	41	0.234673	0.000000
mcf	42	0.126054	0.000000
mcf	43	0.128824	0.000000
mcf	44	0.112082	0.000000
mcf	45	0.080835	0.000000
mcf	46	0.052964	0.000000
mcf	47	0.046743	0.000000
mcf	48	0.044026	0.000000
mcf	49	0.072009	0.000000
mcf	50	0.060533	0.000000
mcf	51	0.000000	0.000000
mcf	52	0.000000	0.000000
mcf	53	0.000000	0.000000
mcf	54	0.045647	0.000000
mcf	55	0.135626	0.000000
mcf	56	0.169702	0.000000
mcf	57	0.185514	0.000000
mcf	58	0.215535	0.000000
mcf	59	0.205892	0.000000
mcf	60	0.267468	0.000000
mcf	61	0.202350	0.000000
mcf	62	0.252562	0.000000
mcf	63	0.158694	0.000000
mcf	64	0.129959	0.000000
mcf	65	0.101498	0.000000
mcf	66	0.128058	0.000000
mcf	67	0.101698	0.000000
mcf	68	0.123154	0.000000
mcf	69	0.077330	0.000000
mcf	70	0.015774	0.000000
mcf	71	0.021804	0.000000
mcf	72	0.026939	0.000000
mcf	73	0.031406	0.000000
mcf	74	0.000000	0.000000
mcf	75	0.000000	0.000000
mcf	76	0.000000	0.000000
mcf	77	0.000000	0.000000
mcf	78	0.023435	0.000000
mcf	79	0.149169	0.000000
mcf	80	0.225936	0.000000
mcf	81	0.184299	0.000000
mcf	82	0.271195	0.000000
mcf	83	0.217163	0.000000
mcf	84	0.221540	0.000000
mcf	85	0.218413	0.000000
mcf	86	0.187366	0.000000
mcf	87	0.164257	0.000000
mcf	88	0.169080	0.000000
mcf	89	0.142444	0.000000
mcf	90	0.145705	0.000000
mcf	91	0.137894	0.000000
mcf	92	0.065781	0.000000
mcf	93	0.070894	0.000000
mcf	94	0.054002	0.000000
mcf	95	0.051626	0.000000
mcf	96	0.091692	0.000000
mcf	97	0.097310	0.000000
mcf	98	0.097877	0.000000
mcf	99	0.025865	0.000000
mcf	100	0.016537	0.000000
mcf	101	0.025545	0.000000
mcf	102	0.061135	0.000000
mcf	103	0.168684	0.000000
mcf	104	0.187941	0.000000
mcf	105	0.206468	0.000000
mcf	106	0.244404	0.000000
mcf	107	0.223668	0.000000
mcf	108	0.236199	0.000000
mcf	109	0.186058	0.000000
mcf	110	0.191827	0.000000
mcf	111	0.124944	0.000000
mcf	112	0.077481	0.000000
mcf	113	0.106960	0.000000
mcf	114	0.116324	0.000000
mcf	115	0.063807	0.000000
mcf	116	0.091628	0.000000
mcf	117	0.046905	0.000000
mcf	118	0.079527	0.000000
mcf	119	0.058405	0.000000
mcf	120	0.094225	0.000000
mcf	121	0.051793	0.000000
mcf	122	0.058101	0.000000
mcf	123	0.000000	0.000000
mcf	124	0.000000	0.000000
mcf	125	0.000000	0.000000
mcf	126	0.035832	0.000000
mcf	127	0.092700	0.000000
mcf	128	0.182679	0.000000
mcf	129	0.122260	0.000000
mcf	130	0.134486	0.000000
mcf	131	0.169182	0.000000
mcf	132	0.129073	0.000000
mcf	133	0.087444	0.000000
mcf	134	0.071885	0.000000
mcf	135	0.012951	0.000000
mcf	136	0.000000	0.000000
mcf	137	0.000000	0.000000
mcf	138	0.000000	0.000000
mcf	139	0.000000	0.000000
mcf	140	0.000000	0.000000
mcf	141	0.000000	0.000000
mcf	142	0.000000	0.000000
mcf	143	0.000000	0.000000
mcf	144	0.010763	0.000000
mcf	145	0.000000	0.000000
mcf	146	0.000000	0.000000
mcf	147	0.000000	0.000000
mcf	148	0.000000	0.000000
mcf	149	0.000000	0.000000
mcf	150	0.000000	0.000000
mcf	151	0.000000	0.000000
mcf	152	0.000000	0.000000
mcf	153	0.000000	0.000000
mcf	154	0.000000	0.000000
mcf	155	0.000000	0.000000
mcf	156	0.000000	0.000000
mcf	157	0.000000	0.000000
mcf	158	0.000000	0.000000
mcf	159	0.000000	0.000000
mcf	160	0.000000	0.000000
mcf	161	0.000000	0.000000
mcf	162	0.000000	0.000000
mcf	163	0.000000	0.000000
mcf	164	0.000000	0.000000
mcf	165	0.000000	0.000000
mcf	166	0.000000	0.000000
mcf	167	0.000000	0.000000
mcf	168	0.003245	0.000000
mcf	169	0.000000	0.000000
mcf	170	0.000000	0.000000
mcf	171	0.000000	0.000000
mcf	172	0.000000	0.000000
mcf	173	0.000000	0.000000
mcf	174	0.000000	0.000000
mcf	175	0.000000	0.000000
mcf	176	0.000000	0.000000
mcf	177	0.000000	0.000000
mcf	178	0.000000	0.000000
mcf	179	0.000000	0.000000
mcf	180	0.000000	0.000000
mcf	181	0.000000	0.000000
mcf	182	0.000000	0.000000
mcf	183	0.000000	0.000000
mcf	184	0.000000	0.000000
mcf	185	0.000000	0.000000
mcf	186	0.000000	0.000000
mcf	187	0.011759	0.000000
mcf	188	0.016900	0.000000
mcf	189	0.000000	0.000000
mcf	190	0.029618	0.000000
mcf	191	0.041339	0.000000
mcf	192	0.017969	0.000000
mcf	193	0.030790	0.000000
mcf	194	0.012902	0.000000
mcf	195	0.000000	0.000000
mcf	196	0.000000	0.000000
mcf	197	0.000000	0.000000
mcf	198	0.025354	0.000000
mcf	199	0.081869	0.000000

