# solver	iter	congestion-drop	stddev
helixMC	0	0.158941	0.000000
helixMC	1	0.100734	0.000000
helixMC	2	0.100568	0.000000
helixMC	3	0.082904	0.000000
helixMC	4	0.013350	0.000000
helixMC	5	0.000451	0.000000
helixMC	6	0.000000	0.000000
helixMC	7	0.000000	0.000000
helixMC	8	0.000000	0.000000
helixMC	9	0.000000	0.000000
helixMC	10	0.000188	0.000000
helixMC	11	0.000705	0.000000
helixMC	12	0.014515	0.000000
helixMC	13	0.020443	0.000000
helixMC	14	0.025477	0.000000
helixMC	15	0.000344	0.000000
helixMC	16	0.000000	0.000000
helixMC	17	0.030042	0.000000
helixMC	18	0.035373	0.000000
helixMC	19	0.044829	0.000000
helixMC	20	0.051605	0.000000
helixMC	21	0.028189	0.000000
helixMC	22	0.059281	0.000000
helixMC	23	0.065853	0.000000
helixMC	24	0.051043	0.000000
helixMC	25	0.071462	0.000000
helixMC	26	0.042921	0.000000
helixMC	27	0.020586	0.000000
helixMC	28	0.000000	0.000000
helixMC	29	0.000000	0.000000
helixMC	30	0.059342	0.000000
helixMC	31	0.095024	0.000000
helixMC	32	0.138727	0.000000
helixMC	33	0.213775	0.000000
helixMC	34	0.180910	0.000000
helixMC	35	0.184585	0.000000
helixMC	36	0.211252	0.000000
helixMC	37	0.169720	0.000000
helixMC	38	0.181291	0.000000
helixMC	39	0.198312	0.000000
helixMC	40	0.122694	0.000000
helixMC	41	0.208156	0.000000
helixMC	42	0.153253	0.000000
helixMC	43	0.134732	0.000000
helixMC	44	0.134697	0.000000
helixMC	45	0.096514	0.000000
helixMC	46	0.080560	0.000000
helixMC	47	0.078838	0.000000
helixMC	48	0.076608	0.000000
helixMC	49	0.084725	0.000000
helixMC	50	0.090550	0.000000
helixMC	51	0.024890	0.000000
helixMC	52	0.003342	0.000000
helixMC	53	0.027277	0.000000
helixMC	54	0.078177	0.000000
helixMC	55	0.142009	0.000000
helixMC	56	0.174203	0.000000
helixMC	57	0.186299	0.000000
helixMC	58	0.210345	0.000000
helixMC	59	0.209437	0.000000
helixMC	60	0.214441	0.000000
helixMC	61	0.205868	0.000000
helixMC	62	0.206825	0.000000
helixMC	63	0.156586	0.000000
helixMC	64	0.132503	0.000000
helixMC	65	0.117558	0.000000
helixMC	66	0.130873	0.000000
helixMC	67	0.117315	0.000000
helixMC	68	0.119826	0.000000
helixMC	69	0.093155	0.000000
helixMC	70	0.045098	0.000000
helixMC	71	0.051189	0.000000
helixMC	72	0.051529	0.000000
helixMC	73	0.055520	0.000000
helixMC	74	0.023338	0.000000
helixMC	75	0.008944	0.000000
helixMC	76	0.000000	0.000000
helixMC	77	0.017258	0.000000
helixMC	78	0.051299	0.000000
helixMC	79	0.143232	0.000000
helixMC	80	0.189019	0.000000
helixMC	81	0.189313	0.000000
helixMC	82	0.226766	0.000000
helixMC	83	0.199000	0.000000
helixMC	84	0.189919	0.000000
helixMC	85	0.201823	0.000000
helixMC	86	0.210434	0.000000
helixMC	87	0.176768	0.000000
helixMC	88	0.158201	0.000000
helixMC	89	0.159085	0.000000
helixMC	90	0.150124	0.000000
helixMC	91	0.129157	0.000000
helixMC	92	0.103306	0.000000
helixMC	93	0.101341	0.000000
helixMC	94	0.074407	0.000000
helixMC	95	0.088645	0.000000
helixMC	96	0.102728	0.000000
helixMC	97	0.112060	0.000000
helixMC	98	0.111177	0.000000
helixMC	99	0.065143	0.000000
helixMC	100	0.054292	0.000000
helixMC	101	0.062673	0.000000
helixMC	102	0.092022	0.000000
helixMC	103	0.158948	0.000000
helixMC	104	0.205579	0.000000
helixMC	105	0.207330	0.000000
helixMC	106	0.216648	0.000000
helixMC	107	0.219104	0.000000
helixMC	108	0.212878	0.000000
helixMC	109	0.195526	0.000000
helixMC	110	0.195937	0.000000
helixMC	111	0.156924	0.000000
helixMC	112	0.119765	0.000000
helixMC	113	0.124786	0.000000
helixMC	114	0.116314	0.000000
helixMC	115	0.090629	0.000000
helixMC	116	0.106209	0.000000
helixMC	117	0.077049	0.000000
helixMC	118	0.084897	0.000000
helixMC	119	0.082817	0.000000
helixMC	120	0.114751	0.000000
helixMC	121	0.078659	0.000000
helixMC	122	0.073543	0.000000
helixMC	123	0.028818	0.000000
helixMC	124	0.000085	0.000000
helixMC	125	0.025837	0.000000
helixMC	126	0.066148	0.000000
helixMC	127	0.115407	0.000000
helixMC	128	0.189019	0.000000
helixMC	129	0.147032	0.000000
helixMC	130	0.150045	0.000000
helixMC	131	0.171593	0.000000
helixMC	132	0.127198	0.000000
helixMC	133	0.091974	0.000000
helixMC	134	0.086622	0.000000
helixMC	135	0.042226	0.000000
helixMC	136	0.029646	0.000000
helixMC	137	0.033787	0.000000
helixMC	138	0.013617	0.000000
helixMC	139	0.026919	0.000000
helixMC	140	0.008307	0.000000
helixMC	141	0.018027	0.000000
helixMC	142	0.013696	0.000000
helixMC	143	0.010957	0.000000
helixMC	144	0.040090	0.000000
helixMC	145	0.020583	0.000000
helixMC	146	0.013057	0.000000
helixMC	147	0.000658	0.000000
helixMC	148	0.000000	0.000000
helixMC	149	0.000000	0.000000
helixMC	150	0.000000	0.000000
helixMC	151	0.000000	0.000000
helixMC	152	0.000000	0.000000
helixMC	153	0.000000	0.000000
helixMC	154	0.000000	0.000000
helixMC	155	0.003537	0.000000
helixMC	156	0.006176	0.000000
helixMC	157	0.000576	0.000000
helixMC	158	0.000000	0.000000
helixMC	159	0.000000	0.000000
helixMC	160	0.000000	0.000000
helixMC	161	0.000115	0.000000
helixMC	162	0.000125	0.000000
helixMC	163	0.002795	0.000000
helixMC	164	0.035389	0.000000
helixMC	165	0.001266	0.000000
helixMC	166	0.005322	0.000000
helixMC	167	0.026340	0.000000
helixMC	168	0.036430	0.000000
helixMC	169	0.031334	0.000000
helixMC	170	0.029220	0.000000
helixMC	171	0.000000	0.000000
helixMC	172	0.000000	0.000000
helixMC	173	0.000000	0.000000
helixMC	174	0.000000	0.000000
helixMC	175	0.000000	0.000000
helixMC	176	0.000000	0.000000
helixMC	177	0.000000	0.000000
helixMC	178	0.000000	0.000000
helixMC	179	0.000000	0.000000
helixMC	180	0.012344	0.000000
helixMC	181	0.018339	0.000000
helixMC	182	0.023205	0.000000
helixMC	183	0.000000	0.000000
helixMC	184	0.000000	0.000000
helixMC	185	0.028379	0.000000
helixMC	186	0.037761	0.000000
helixMC	187	0.048723	0.000000
helixMC	188	0.057157	0.000000
helixMC	189	0.029439	0.000000
helixMC	190	0.060266	0.000000
helixMC	191	0.067382	0.000000
helixMC	192	0.052953	0.000000
helixMC	193	0.069123	0.000000
helixMC	194	0.044603	0.000000
helixMC	195	0.018005	0.000000
helixMC	196	0.000000	0.000000
helixMC	197	0.000000	0.000000
helixMC	198	0.062915	0.000000
helixMC	199	0.097719	0.000000

