# solver	iter	churn	stddev
cspf	0	2970.000000	0.000000
cspf	1	2512.000000	0.000000
cspf	2	2472.000000	0.000000
cspf	3	2630.000000	0.000000
cspf	4	0.000000	0.000000
cspf	5	0.000000	0.000000
cspf	6	0.000000	0.000000
cspf	7	0.000000	0.000000
cspf	8	0.000000	0.000000
cspf	9	0.000000	0.000000
cspf	10	0.000000	0.000000
cspf	11	2470.000000	0.000000
cspf	12	2502.000000	0.000000
cspf	13	2492.000000	0.000000
cspf	14	2466.000000	0.000000
cspf	15	2578.000000	0.000000
cspf	16	0.000000	0.000000
cspf	17	2584.000000	0.000000
cspf	18	2476.000000	0.000000
cspf	19	2390.000000	0.000000
cspf	20	2228.000000	0.000000
cspf	21	2426.000000	0.000000
cspf	22	2326.000000	0.000000
cspf	23	2324.000000	0.000000
cspf	24	2318.000000	0.000000
cspf	25	2224.000000	0.000000
cspf	26	2428.000000	0.000000
cspf	27	2518.000000	0.000000
cspf	28	2606.000000	0.000000
cspf	29	0.000000	0.000000
cspf	30	2474.000000	0.000000
cspf	31	2220.000000	0.000000
cspf	32	2156.000000	0.000000
cspf	33	2130.000000	0.000000
cspf	34	2184.000000	0.000000
cspf	35	1972.000000	0.000000
cspf	36	2006.000000	0.000000
cspf	37	2030.000000	0.000000
cspf	38	1946.000000	0.000000
cspf	39	2096.000000	0.000000
cspf	40	2336.000000	0.000000
cspf	41	2064.000000	0.000000
cspf	42	2178.000000	0.000000
cspf	43	2032.000000	0.000000
cspf	44	1992.000000	0.000000
cspf	45	2314.000000	0.000000
cspf	46	2270.000000	0.000000
cspf	47	2184.000000	0.000000
cspf	48	2244.000000	0.000000
cspf	49	2264.000000	0.000000
cspf	50	2308.000000	0.000000
cspf	51	2630.000000	0.000000
cspf	52	2600.000000	0.000000
cspf	53	2522.000000	0.000000
cspf	54	2394.000000	0.000000
cspf	55	2104.000000	0.000000
cspf	56	2168.000000	0.000000
cspf	57	2028.000000	0.000000
cspf	58	1834.000000	0.000000
cspf	59	1914.000000	0.000000
cspf	60	1898.000000	0.000000
cspf	61	2010.000000	0.000000
cspf	62	2074.000000	0.000000
cspf	63	2188.000000	0.000000
cspf	64	2152.000000	0.000000
cspf	65	2146.000000	0.000000
cspf	66	2080.000000	0.000000
cspf	67	2108.000000	0.000000
cspf	68	2114.000000	0.000000
cspf	69	2272.000000	0.000000
cspf	70	2400.000000	0.000000
cspf	71	2290.000000	0.000000
cspf	72	2270.000000	0.000000
cspf	73	2360.000000	0.000000
cspf	74	2532.000000	0.000000
cspf	75	2548.000000	0.000000
cspf	76	2530.000000	0.000000
cspf	77	2548.000000	0.000000
cspf	78	2448.000000	0.000000
cspf	79	2116.000000	0.000000
cspf	80	2022.000000	0.000000
cspf	81	1922.000000	0.000000
cspf	82	1932.000000	0.000000
cspf	83	1984.000000	0.000000
cspf	84	2058.000000	0.000000
cspf	85	1992.000000	0.000000
cspf	86	1954.000000	0.000000
cspf	87	2012.000000	0.000000
cspf	88	2044.000000	0.000000
cspf	89	2000.000000	0.000000
cspf	90	2024.000000	0.000000
cspf	91	2132.000000	0.000000
cspf	92	2268.000000	0.000000
cspf	93	2048.000000	0.000000
cspf	94	2308.000000	0.000000
cspf	95	2238.000000	0.000000
cspf	96	2220.000000	0.000000
cspf	97	2116.000000	0.000000
cspf	98	2044.000000	0.000000
cspf	99	2368.000000	0.000000
cspf	100	2282.000000	0.000000
cspf	101	2172.000000	0.000000
cspf	102	2250.000000	0.000000
cspf	103	2026.000000	0.000000
cspf	104	1990.000000	0.000000
cspf	105	1834.000000	0.000000
cspf	106	1836.000000	0.000000
cspf	107	1850.000000	0.000000
cspf	108	1982.000000	0.000000
cspf	109	2034.000000	0.000000
cspf	110	2006.000000	0.000000
cspf	111	2166.000000	0.000000
cspf	112	2236.000000	0.000000
cspf	113	2008.000000	0.000000
cspf	114	2018.000000	0.000000
cspf	115	2202.000000	0.000000
cspf	116	2030.000000	0.000000
cspf	117	2296.000000	0.000000
cspf	118	2248.000000	0.000000
cspf	119	2232.000000	0.000000
cspf	120	2076.000000	0.000000
cspf	121	2338.000000	0.000000
cspf	122	2218.000000	0.000000
cspf	123	2610.000000	0.000000
cspf	124	2574.000000	0.000000
cspf	125	2534.000000	0.000000
cspf	126	2364.000000	0.000000
cspf	127	2118.000000	0.000000
cspf	128	2128.000000	0.000000
cspf	129	2190.000000	0.000000
cspf	130	2072.000000	0.000000
cspf	131	2000.000000	0.000000
cspf	132	2160.000000	0.000000
cspf	133	2312.000000	0.000000
cspf	134	2248.000000	0.000000
cspf	135	2494.000000	0.000000
cspf	136	2434.000000	0.000000
cspf	137	2340.000000	0.000000
cspf	138	2584.000000	0.000000
cspf	139	2382.000000	0.000000
cspf	140	2506.000000	0.000000
cspf	141	2444.000000	0.000000
cspf	142	2520.000000	0.000000
cspf	143	2438.000000	0.000000
cspf	144	2390.000000	0.000000
cspf	145	2494.000000	0.000000
cspf	146	2468.000000	0.000000
cspf	147	2570.000000	0.000000
cspf	148	0.000000	0.000000
cspf	149	0.000000	0.000000
cspf	150	0.000000	0.000000
cspf	151	0.000000	0.000000
cspf	152	0.000000	0.000000
cspf	153	0.000000	0.000000
cspf	154	0.000000	0.000000
cspf	155	2482.000000	0.000000
cspf	156	2448.000000	0.000000
cspf	157	2580.000000	0.000000
cspf	158	0.000000	0.000000
cspf	159	0.000000	0.000000
cspf	160	0.000000	0.000000
cspf	161	2510.000000	0.000000
cspf	162	2480.000000	0.000000
cspf	163	2446.000000	0.000000
cspf	164	2568.000000	0.000000
cspf	165	2668.000000	0.000000
cspf	166	2524.000000	0.000000
cspf	167	2500.000000	0.000000
cspf	168	2438.000000	0.000000
cspf	169	2488.000000	0.000000
cspf	170	2416.000000	0.000000
cspf	171	2596.000000	0.000000
cspf	172	0.000000	0.000000
cspf	173	0.000000	0.000000
cspf	174	0.000000	0.000000
cspf	175	0.000000	0.000000
cspf	176	0.000000	0.000000
cspf	177	0.000000	0.000000
cspf	178	2492.000000	0.000000
cspf	179	2546.000000	0.000000
cspf	180	2498.000000	0.000000
cspf	181	2500.000000	0.000000
cspf	182	2442.000000	0.000000
cspf	183	2622.000000	0.000000
cspf	184	0.000000	0.000000
cspf	185	2594.000000	0.000000
cspf	186	2424.000000	0.000000
cspf	187	2336.000000	0.000000
cspf	188	2352.000000	0.000000
cspf	189	2476.000000	0.000000
cspf	190	2314.000000	0.000000
cspf	191	2264.000000	0.000000
cspf	192	2352.000000	0.000000
cspf	193	2276.000000	0.000000
cspf	194	2330.000000	0.000000
cspf	195	2548.000000	0.000000
cspf	196	2510.000000	0.000000
cspf	197	0.000000	0.000000
cspf	198	2464.000000	0.000000
cspf	199	2348.000000	0.000000
helixMC	0	3298.000000	0.000000
helixMC	1	0.000000	0.000000
helixMC	2	0.000000	0.000000
helixMC	3	0.000000	0.000000
helixMC	4	32.000000	0.000000
helixMC	5	14.000000	0.000000
helixMC	6	0.000000	0.000000
helixMC	7	0.000000	0.000000
helixMC	8	0.000000	0.000000
helixMC	9	0.000000	0.000000
helixMC	10	14.000000	0.000000
helixMC	11	24.000000	0.000000
helixMC	12	8.000000	0.000000
helixMC	13	2.000000	0.000000
helixMC	14	10.000000	0.000000
helixMC	15	24.000000	0.000000
helixMC	16	0.000000	0.000000
helixMC	17	22.000000	0.000000
helixMC	18	32.000000	0.000000
helixMC	19	8.000000	0.000000
helixMC	20	14.000000	0.000000
helixMC	21	0.000000	0.000000
helixMC	22	12.000000	0.000000
helixMC	23	12.000000	0.000000
helixMC	24	2.000000	0.000000
helixMC	25	10.000000	0.000000
helixMC	26	0.000000	0.000000
helixMC	27	0.000000	0.000000
helixMC	28	0.000000	0.000000
helixMC	29	0.000000	0.000000
helixMC	30	2.000000	0.000000
helixMC	31	40.000000	0.000000
helixMC	32	114.000000	0.000000
helixMC	33	182.000000	0.000000
helixMC	34	16.000000	0.000000
helixMC	35	0.000000	0.000000
helixMC	36	4.000000	0.000000
helixMC	37	0.000000	0.000000
helixMC	38	20.000000	0.000000
helixMC	39	36.000000	0.000000
helixMC	40	0.000000	0.000000
helixMC	41	14.000000	0.000000
helixMC	42	0.000000	0.000000
helixMC	43	0.000000	0.000000
helixMC	44	0.000000	0.000000
